rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
186,247,7.916899999999998,0.475,8.032705583609715,11.083683157573855,95.0,20,1.0,5.0,,,19.0,95.0
187,139,7.877600000000001,0.475,7.744009224017903,10.536106901576535,95.0,20,1.0,5.0,,,19.0,95.0
188,220,7.855999999999997,0.475,8.07835313263655,11.273702310195636,95.0,20,1.0,5.0,,,19.0,95.0
189,165,7.808699999999999,0.475,8.611369784443536,12.433620207880502,95.0,20,,,1.0,5.0,19.0,95.0
190,292,7.808199999999997,0.5,9.189719208423899,13.626265769918913,100.0,20,,,,,20.0,100.0
191,166,7.791699999999999,0.4980627836022185,7.752324080049709,10.505921776954498,100.0,20,,,,,20.0,100.0
192,42,7.766699999999998,0.475,8.078518849674825,11.165623347995714,95.0,20,1.0,5.0,,,19.0,95.0
193,17,7.763900000000004,0.5,8.019333475447047,11.065356156643409,100.0,20,,,,,20.0,100.0
194,284,7.756399999999997,0.4453480852547388,7.856395716854658,10.923672072702747,90.0,20,2.0,10.0,,,18.0,90.0
195,127,7.7521,0.44000342757423666,8.00072778823743,11.02814478222416,90.0,20,2.0,10.0,,,18.0,90.0
196,179,7.736900000000001,0.425,8.366493444282844,11.815982088534184,85.0,20,3.0,15.0,,,17.0,85.0
197,87,7.682499999999999,0.475,7.96584617656617,10.940278001778402,95.0,20,1.0,5.0,,,19.0,95.0
198,241,7.666500000000004,0.475,7.755671767724219,10.52599153237154,95.0,20,1.0,5.0,,,19.0,95.0
199,167,7.625099999999999,0.475,8.434824452904515,12.154414679318199,95.0,20,1.0,5.0,,,19.0,95.0
200,222,7.604999999999999,0.425,8.205334100558726,11.527664246039986,85.0,20,3.0,15.0,,,17.0,85.0
201,140,7.5935999999999995,0.475,9.080746950584595,13.170079549815252,95.0,20,1.0,5.0,,,19.0,95.0
202,230,7.591000000000003,0.4980480100264114,7.770867060504878,10.60272993244563,100.0,20,,,,,20.0,100.0
203,117,7.572999999999999,0.5,9.082600245261538,13.30107898030639,100.0,20,,,,,20.0,100.0
204,110,7.525499999999999,0.45,7.784932258075192,10.584512513073483,90.0,20,2.0,10.0,,,18.0,90.0
205,282,7.523000000000001,0.5,8.091436813921074,11.429700980913264,100.0,20,,,,,20.0,100.0
206,55,7.485799999999998,0.5,7.9720385903377435,11.01206015050452,100.0,20,,,,,20.0,100.0
207,31,7.460400000000002,0.475,9.167567699214853,13.341288233522326,95.0,20,1.0,5.0,,,19.0,95.0
208,281,7.455699999999998,0.45,7.753104122766793,10.508703371129808,90.0,20,2.0,10.0,,,18.0,90.0
209,131,7.454000000000001,0.45,7.980536179987915,11.029055329804866,90.0,20,2.0,10.0,,,18.0,90.0
210,1,7.450999999999998,0.5,8.202198904645092,11.495405835108416,100.0,20,,,,,20.0,100.0
211,249,7.445200000000002,0.5,7.770397702347514,10.567484610444343,100.0,20,,,,,20.0,100.0
212,232,7.401400000000001,0.45,7.909011560818807,10.84949800342839,90.0,20,2.0,10.0,,,18.0,90.0
213,276,7.385100000000001,0.5,8.129771498092262,11.436669596979446,100.0,20,,,,,20.0,100.0
214,121,7.359900000000001,0.5,8.086528592188191,11.264065210194609,100.0,20,,,,,20.0,100.0
215,92,7.3424999999999985,0.475,8.426405905836614,11.85286278012075,95.0,20,1.0,5.0,,,19.0,95.0
216,162,7.2719000000000005,0.475,7.958902179934425,10.926390008514915,95.0,20,1.0,5.0,,,19.0,95.0
217,208,7.232499999999999,0.475,7.9204528019902,10.87238048577118,95.0,20,1.0,5.0,,,19.0,95.0
218,143,7.230300000000002,0.5,7.783440561012929,10.627876933461739,100.0,20,,,,,20.0,100.0
219,206,7.230200000000001,0.5,8.169870713605784,11.485507340501503,100.0,20,,,,,20.0,100.0
220,137,7.199800000000003,0.5,7.683886493579108,10.435755956987256,100.0,20,,,,,20.0,100.0
221,67,7.166499999999997,0.4704575161259905,8.137590764596519,11.275232497640559,95.0,20,1.0,5.0,,,19.0,95.0
222,246,7.133000000000001,0.5,7.971825012362781,11.034658050543786,100.0,20,,,,,20.0,100.0
223,148,7.130400000000002,0.5,8.356690315066317,11.821395725326083,100.0,20,,,,,20.0,100.0
224,122,7.112899999999998,0.475,8.268822349422283,11.64565979403801,95.0,20,1.0,5.0,,,19.0,95.0
225,3,7.093600000000002,0.5,8.95224825881783,12.931185723384967,100.0,20,,,,,20.0,100.0
226,174,7.084699999999998,0.45,7.869672043342992,10.781523269270632,90.0,20,2.0,10.0,,,18.0,90.0
227,91,7.0832,0.5,8.651211523244616,12.344602229073882,100.0,20,,,,,20.0,100.0
228,32,7.0779,0.475,7.885459226651821,10.770969421751168,95.0,20,1.0,5.0,,,19.0,95.0
229,225,7.0542,0.475,8.27341568130384,11.552984197700292,95.0,20,1.0,5.0,,,19.0,95.0
